,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F
Rank,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
1,Stanford (Cal.),1420.5,2,90,16,58.5,44,28.0,0,0,0,0,9,37,33,0,2,90,3,83,9,0.0,7,71.25
2,Texas,1094.0,3,83,3,85.0,9,68.25,0,0,0,0,0,0,3,83,33,25,9,64,2,90.0,21,0.0
3,Ohio State,1074.75,9,64,4,80.0,41,32.0,5,60,9,25,8,46,0,0,33,25,9,64,0,0.0,32,0.0
4,Michigan,1034.25,0,0,0,0.0,0,0.0,0,0,0,0,4,80,9,64,17,50,0,0,49,0.0,52,0.0
5,Penn State,993.0,0,0,39,34.0,50,23.0,0,0,9,25,0,0,33,25,0,0,0,0,10,67.5,0,0.0
6,California-Los Angeles,943.75,0,0,5,74.25,3,85.0,0,0,0,0,0,0,1,100,5,73,3,83,8,70.5,19,55.0
7,Florida,935.75,17,50,8,70.5,4,77.5,0,0,0,0,0,0,33,25,1,100,5,73,4,0.0,6,73.5
8,North Carolina,933.5,9,64,13,63.0,9,68.25,0,0,0,0,0,0,33,25,9,64,33,25,7,0.0,32,0.0
9,California,884.75,0,0,14,60.75,62,11.5,0,0,0,0,5,73,2,90,3,83,5,73,0,0.0,0,0.0
10,Arizona State,860.75,9,64,18,56.0,6,73.5,0,0,0,0,0,0,25,50,9,64,33,25,29,43.5,0,0.0
11,Minnesota,845.0,33,25,0,0.0,19,49.5,0,0,0,0,0,0,33,25,33,25,17,50,33,40.0,9,0.0
12,Auburn (Ala.),822.75,17,50,9,69.0,8,70.5,0,0,0,0,0,0,0,0,0,0,17,50,14,0.0,2,0.0
13,Notre Dame (Ind.),822.5,17,50,0,0.0,0,0.0,0,0,0,0,0,0,25,50,17,50,0,0,25,49.0,0,0.0
13,Southern California,822.5,0,0,1,100.0,14,61.5,0,0,0,0,0,0,0,0,5,73,17,50,13,63.0,3,85.0
15,Georgia,784.75,0,0,11,66.0,16,58.5,0,0,0,0,0,0,25,50,5,73,33,25,11,66.0,14,60.75
16,Arizona,760.0,49,25,7,72.0,17,57.0,0,0,0,0,0,0,3,83,17,50,33,25,22,51.0,37,33.0
17,Washington,732.0,17,50,39,34.0,11,65.25,0,0,0,0,3,85,5,73,9,64,9,64,29,43.5,0,0.0
18,South Carolina,701.0,5,73,17,57.0,19,49.5,0,0,0,0,0,0,17,50,17,50,33,25,3,0.0,10,0.0
19,Virginia,690.0,0,0,0,0.0,0,0.0,2,90,1,100,6,64,0,0,17,50,0,0,55,16.0,0,0.0
20,Oklahoma,643.25,0,0,28,44.5,58,14.5,0,0,0,0,0,0,5,73,33,25,0,0,0,0.0,32,40.0
21,Duke (N.C.),643.0,0,0,10,67.5,19,49.5,9,25,0,0,0,0,0,0,3,83,9,64,0,0.0,73,5.0
22,Maryland,620.5,0,0,0,0.0,62,11.5,3,83,3,83,0,0,0,0,0,0,0,0,0,0.0,0,0.0
23,Louisiana State U.,597.25,7,73,0,0.0,0,0.0,0,0,0,0,0,0,33,25,33,25,33,25,1,0.0,4,0.0
24,Nebraska,596.5,17,50,22,52.0,0,0.0,0,0,0,0,0,0,17,50,0,0,0,0,5,75.0,5,75.0
25,Wisconsin,579.0,0,0,24,50.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,0.0,37,33.0
26,Michigan State,578.5,0,0,50,23.5,58,14.5,0,0,0,0,11,19,9,64,0,0,0,0,49,22.5,0,0.0
27,Tennessee,557.25,0,0,52,21.0,19,49.5,0,0,0,0,0,0,0,0,9,64,0,0,22,51.0,7,0.0
28,Texas A&M,551.25,17,50,25,48.0,68,5.0,0,0,0,0,0,0,9,64,17,50,9,64,0,0.0,11,65.25
29,Alabama,550.0,33,25,0,0.0,58,14.5,0,0,0,0,0,0,7,73,17,50,9,64,43,28.5,57,0.0
30,Illinois,537.0,0,0,28,44.5,19,49.5,0,0,0,0,0,0,33,25,17,50,1,100,22,51.0,0,0.0
31,Arkansas,530.0,33,25,44,29.0,19,49.5,0,0,0,0,0,0,0,0,0,0,33,25,19,0.0,1,0.0
32,Wake Forest (N.C.),526.5,0,0,28,44.5,4,77.5,0,0,0,0,0,0,0,0,0,0,17,50,55,0.0,0,0.0
33,Indiana,514.5,0,0,55,18.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,73.5,0,0.0
34,Princeton (N.J.),514.0,49,25,0,0.0,0,0.0,1,100,5,60,7,55,49,25,0,0,0,0,0,0.0,0,0.0
35,Harvard (Mass.),509.5,0,0,0,0.0,0,0.0,0,0,0,0,1,100,0,0,9,64,17,50,0,0.0,46,26.5
36,Miami (Fla.),485.0,5,73,0,0.0,0,0.0,0,0,0,0,0,0,0,0,17,50,33,25,18,0.0,0,0.0
37,Missouri,483.5,33,25,34,38.0,76,5.0,0,0,0,0,0,0,49,25,33,25,0,0,0,0.0,27,0.0
38,Florida State,481.0,9,64,19,54.5,0,0.0,0,0,0,0,0,0,49,25,0,0,17,50,26,0.0,57,0.0
39,Oklahoma State,470.25,0,0,5,74.25,2,90.0,0,0,0,0,0,0,17,50,33,25,9,64,0,0.0,0,0.0
40,Purdue (Ind.),463.0,0,0,12,64.5,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,32,0.0
41,Southern Methodist (Tex.),461.5,0,0,0,0.0,19,49.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,17,56.5
42,Iowa,460.25,0,0,0,0.0,0,0.0,0,0,0,0,0,0,9,64,0,0,0,0,0,0.0,37,33.0
43,North Carolina State,457.0,9,64,42,31.5,15,60.0,0,0,0,0,0,0,0,0,0,0,0,0,39,0.0,52,0.0
44,Colorado,455.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,39,0.0,65,5.0
45,Brigham Young (Utah),434.0,0,0,0,0.0,58,14.5,0,0,0,0,0,0,0,0,0,0,0,0,15,0.0,27,0.0
46,Villanova (Penn.),433.75,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,49,22.5,65,0.0
47,Pepperdine (Cal.),412.5,49,25,2,90.0,37,35.5,0,0,0,0,0,0,0,0,17,50,17,50,0,0.0,0,0.0
48,Clemson (S.C.),404.5,33,25,0,0.0,1,100.0,0,0,0,0,0,0,0,0,17,50,17,50,36,37.0,70,0.0
49,Kansas State,395.5,0,0,28,44.5,31,42.0,0,0,0,0,0,0,0,0,9,64,0,0,36,0.0,50,0.0
50,Kentucky,390.5,0,0,0,0.0,19,49.5,0,0,0,0,0,0,0,0,9,64,17,50,55,0.0,0,0.0
51,Connecticut,386.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23,51.0
52,Oregon,373.5,0,0,0,0.0,19,49.5,0,0,0,0,0,0,9,64,0,0,0,0,17,0.0,13,63.0
53,Georgia Tech,372.25,49,25,0,0.0,11,65.25,0,0,0,0,0,0,25,50,17,50,33,25,36,37.0,0,0.0
54,Vanderbilt (Tenn.),351.75,0,0,14,60.75,19,49.5,0,0,0,0,0,0,0,0,5,73,2,90,43,28.5,0,0.0
55,Washington State,351.5,0,0,23,51.0,0,0.0,0,0,0,0,12,10,0,0,0,0,0,0,12,64.5,27,45.0
56,Utah,348.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
57,Mississippi State,329.75,17,50,34,38.0,0,0.0,0,0,0,0,0,0,33,25,0,0,33,25,27,0.0,20,0.0
58,William and Mary (Va.),329.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,9,64,0,0,0,0.0,32,40.0
59,New Mexico,314.5,0,0,34,38.0,19,49.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,37,33.0
60,Pennsylvania,292.25,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,11,65.25
61,Georgetown (D.C.),288.0,0,0,0,0.0,0,0.0,5,60,5,60,0,0,0,0,0,0,0,0,0,0.0,65,5.0
62,Boston College (Mass.),282.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,25,50,0,0,0,0,0,0.0,0,0.0
63,Boise State (Idaho),281.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,17,50,55,16.0,24,49.0
64,Texas Christian U.,277.75,0,0,34,38.0,49,25.0,0,0,0,0,0,0,0,0,0,0,17,50,49,22.5,14,0.0
