,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten.,,W. T&F,,M. T&F,,M. VB,,W. WP,
,,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
1,Stanford,1429,0,0,5,75,1,100,0,0,0,0,0,0,17,x,3,83,0,0,10,66.75,10,66.75,0,0,2,90
2,UCLA,1257,9,64,3,85,7,72,0,0,0,0,0,0,33,25,2,90,5,73,5,75,9,69,0,0,1,100
3,North Carolina,1161.33,2,90,21,53,16,51,5,60,5,60,0,0,33,25,9,64,17,50,21,50.5,6,73.5,0,0,0,0
4,Michigan,1135.25,9,64,37,36,0,0,0,0,0,0,0,0,9,64,17,50,17,50,3,85,18,55,0,0,0,0
5,Southern California,1103.5,0,0,4,80,16,51,0,0,0,0,5,73,0,0,9,64,5,73,7,72,5,75,0,0,3,85
6,Florida,1064.25,0,0,29,44.5,9,68.25,0,0,0,0,0,0,9,64,5,73,9,64,46,23.5,34,39,0,0,0,0
7,Tennessee,1045.75,0,0,17,56.5,16,51,0,0,0,0,9,37,2,90,17,50,17,50,27,43.5,4,80,0,0,0,0
8,Texas,1037.25,17,50,0,0,11,65.25,0,0,0,0,0,0,17,50,17,50,9,64,6,73.5,14,61.5,0,0,0,0
9,California,1030,0,0,55,0,43,30,0,0,0,0,7,55,33,25,3,83,33,25,8,70.5,69,5,0,0,0,0
10,Arizona State,1005,5,73,13,63,16,51,0,0,0,0,0,0,7,68.5,17,50,0,0,1,100,22,51,0,0,0,0
11,Duke,988.25,0,0,1,100,13,62.25,3,83,2,90,0,0,0,0,17,50,17,50,27,43.5,0,0,0,0,0,0
12,Georgia,971,0,0,8,70.5,2,90,0,0,0,0,0,0,17,50,5,73,1,100,9,69,26,46.5,0,0,0,0
13,Virginia,945,17,50,25,47.5,0,0,2,90,9,25,2,90,0,0,17,50,3,83,0,0,47,24,0,0,0,0
14,Ohio State,927.5,33,25,31,41.5,0,0,0,0,0,0,3,85,17,50,0,0,5,73,67,5,0,0,0,0,0,0
15,Florida State,924.25,17,50,31,41.5,13,62.25,0,0,0,0,0,0,49,25,17,50,17,50,14,61.5,1,100,0,0,0,0
16,Wisconsin,913.25,0,0,0,0,34,38.5,0,0,0,0,0,0,0,0,0,0,17,50,0,0,7,71.25,0,0,0,0
17,Louisiana State,888,0,0,40,33,0,0,0,0,0,0,0,0,9,64,33,25,9,64,2,90,2,90,0,0,0,0
18,Texas A&M,881,9,64,37,36,32,41.5,0,0,0,0,0,0,7,68.5,17,50,17,50,4,80,22,51,0,0,0,0
19,Auburn,866.25,0,0,9,69,16,51,0,0,0,0,0,0,0,0,17,50,17,50,12,63.75,3,85,0,0,0,0
20,Minnesota,862.75,33,25,0,0,9,68.25,0,0,0,0,6,64,0,0,0,0,33,25,41,31,0,0,0,0,0,0
21,Penn State,848.83,0,0,0,0,46,26,0,0,0,0,0,0,49,25,0,0,33,25,27,43.5,0,0,3,25,0,0
22,Notre Dame,789.5,0,0,0,0,0,0,0,0,9,25,12,10,33,25,5,73,9,64,41,31,55,15.5,0,0,0,0
23,Wake Forest,708.5,33,25,12,64.5,16,51,0,0,0,0,0,0,0,0,17,50,9,64,21,50.5,55,15.5,0,0,0,0
24,Arizona,703.33,17,50,14,60.75,16,51,0,0,0,0,0,0,1,100,33,25,0,0,0,0,12,63.75,0,0,0,0
25,Oklahoma,702.75,0,0,0,0,61,11.5,0,0,0,0,0,0,9,64,0,0,17,50,39,34.5,15,58.5,0,0,0,0
26,Brigham Young,698.6,0,0,17,56.5,34,38.5,0,0,0,0,0,0,17,50,17,50,0,0,21,50.5,26,46.5,0,0,0,0
27,Nebraska,683.5,17,50,43,30,61,11.5,0,0,0,0,0,0,49,25,0,0,0,0,18,56,54,20,0,0,0,0
28,Louisville,654,5,73,10,67.5,16,51,0,0,0,0,0,0,33,25,0,0,0,0,0,0,7,71.25,0,0,0,0
29,Washington,641.25,0,0,0,0,40,33,0,0,0,0,10,28,3,83,0,0,33,25,59,11.5,15,58.5,0,0,0,0
30,Northwestern,626.5,0,0,35,38.5,38,35.5,1,100,0,0,0,0,3,83,9,64,0,0,0,0,0,0,0,0,0,0
31,Arkansas,604.08,17,50,25,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,60,63,8.5,0,0,0,0
32,South Carolina,602.75,9,64,25,47.5,11,65.25,0,0,0,0,0,0,9,64,33,25,0,0,12,63.75,34,39,0,0,0,0
33,Vanderbilt,552.5,17,50,6,73.5,16,51,9,25,0,0,0,0,0,0,9,64,17,50,0,0,0,0,0,0,0,0
34,Michigan State,537,0,0,16,58.5,16,51,0,0,0,0,0,0,0,0,0,0,0,0,59,11.5,0,0,0,0,0,0
35,Purdue,532.5,0,0,2,90,58,15,0,0,0,0,0,0,0,0,0,0,0,0,21,50.5,0,0,0,0,0,0
36,Clemson,527.5,9,64,0,0,32,41.5,0,0,0,0,0,0,0,0,9,64,17,50,0,0,25,49,0,0,0,0
37,Colorado,512.5,0,0,0,0,55,18,0,0,0,0,0,0,0,0,33,25,0,0,67,5,37,36,0,0,0,0
38,Baylor,510.25,33,25,40,33,52,21,0,0,0,0,0,0,5,73,9,64,3,83,0,0,15,58.5,0,0,0,0
39,Oregon,509.25,0,0,0,0,55,18,0,0,0,0,0,0,17,50,33,25,0,0,27,43.5,10,66.75,0,0,0,0
40,Maryland,508.5,0,0,52,21,58,15,5,60,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Oklahoma State,503.75,9,64,14,60.75,15,60,0,0,0,0,0,0,0,0,0,0,9,64,0,0,0,0,0,0,0,0
42,Illinois,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,90,67,5,47,24,0,0,0,0
43,Alabama,494.75,0,0,23,51,6,73.5,0,0,0,0,0,0,9,64,0,0,9,64,21,50.5,0,0,0,0,0,0
44,North Carolina State,487.5,33,25,52,21,0,0,0,0,0,0,0,0,33,25,33,25,5,73,46,23.5,37,36,0,0,0,0
45,Kentucky,476.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0
46,Georgia Tech,467.5,0,0,0,0,8,70.5,0,0,0,0,0,0,33,25,1,100,33,25,19,54.5,0,0,0,0,0,0
47,Texas Tech,450.5,0,0,0,0,16,51,0,0,0,0,0,0,0,0,0,0,17,50,10,66.75,41,30.5,0,0,0,0
48,Virginia Tech,434,0,0,0,0,34,38.5,0,0,0,0,0,0,33,25,0,0,33,25,21,50.5,63,8.5,0,0,0,0
49,Mississippi,425.25,9,64,0,0,51,23,0,0,0,0,0,0,0,0,0,0,9,64,27,43.5,12,63.75,0,0,0,0
50,Indiana,422,0,0,24,50,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0
51,Oregon State,401.75,1,100,0,0,31,41.5,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0
52,Texas Christian U.,395.5,17,50,11,66,74,5,0,0,0,0,0,0,0,0,33,25,0,0,27,43.5,41,30.5,0,0,0,0
53,Missouri,391.33,17,50,49,24,0,0,0,0,0,0,0,0,17,50,0,0,0,0,73,5,0,0,0,0,0,0
54,Rutgers,379.33,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Cornell,369.5,0,0,0,0,0,0,0,0,3,83,0,0,0,0,0,0,0,0,56,17,26,46.5,0,0,0,0
56,UC Irvine,367,3,83,19,55,58,15,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,1,100,0,0
57,West Virginia,366.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Boston College,355,0,0,0,0,76,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Miami (Fla.),348,33,25,0,0,0,0,0,0,0,0,0,0,0,0,5,73,33,25,56,17,0,0,0,0,0,0
60,Utah,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,UC Santa Barbara,326.5,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,33,25,46,23.5,70,5,0,0,0,0
62,Hawaii,315.5,0,0,40,33,0,0,0,0,0,0,0,0,9,64,0,0,0,0,0,0,0,0,0,0,0,0
63,Princeton,308.5,0,0,0,0,0,0,9,25,9,25,8,46,0,0,0,0,0,0,0,0,73,5,0,0,0,0
64,Harvard,305,0,0,0,0,0,0,0,0,0,0,11,19,49,25,0,0,0,0,0,0,0,0,0,0,0,0
65,New Mexico,303.5,0,0,22,52,16,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,5,0,0,0,0
66,Kansas,298.5,0,0,0,0,70,5,0,0,0,0,0,0,0,0,0,0,0,0,35,37.5,18,55,0,0,0,0
67,Southern Methodist,297.5,0,0,43,30,67,5,0,0,0,0,0,0,0,0,0,0,0,0,46,23.5,0,0,0,0,0,0
68,Iowa,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,34.5,0,0,0,0,0,0
69,Pepperdine,285.5,49,25,7,72,34,38.5,0,0,0,0,0,0,0,0,17,50,17,50,0,0,0,0,3,25,0,0
70,Washington State,283,0,0,31,41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,43.5,63,8.5,0,0,0,0
