,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP
Rank,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
1,Stanford,1461.0,3,83,25,x,2,90.0,0,0,0,0,0,0,9,x,5,73,17,50,6,73.5,56,13.5,0,0,3,85
2,UCLA,1182.0,17,50,2,90,1,100.0,0,0,0,0,0,0,5,73,1,100,3,83,29,44.5,34,39.5,0,0,1,100
3,Michigan,1161.0,33,x,0,0,34,38.5,0,0,0,0,0,0,9,64,17,50,9,64,7,72.0,42,28.5,0,0,6,64
4,Arizona State,1146.0,9,64,5,75,17,56.5,0,0,0,0,0,0,1,100,17,50,33,25,2,90.0,6,73.5,0,0,0,0
5,Texas,1129.5,17,50,17,56.5,19,55.0,0,0,0,0,0,0,33,25,9,64,2,90,46,25.0,4,80,0,0,0,0
6,Florida,1126.75,49,25,9,69,11,66.0,0,0,0,0,0,0,3,83,3,83,9,64,9,69.0,15,60,0,0,0,0
7,California,1119.0,49,25,34,39,60,13.0,0,0,0,0,3,85,9,64,2,90,17,50,22,51.0,71,x,0,0,0,0
8,Louisiana State U.,1081.66,5,73,15,60,64,6.66,0,0,0,0,0,0,17,50,17,50,17,50,1,100.0,2,87.5,0,0,0,0
9,Penn State,1041.0,0,0,0,0,25,49.0,0,0,0,0,0,0,0,0,0,0,17,50,4,80.0,0,0,1,100,0,0
10,Georgia,1040.0,2,90,10,66.75,8,69.75,0,0,0,0,0,0,9,64,9,64,1,100,60,13.5,25,46.5,0,0,0,0
11,Ohio State,1033.75,0,0,25,48,46,26.5,0,0,5,60,7,55,0,0,33,25,5,73,46,25.0,50,21.5,3,25,0,0
12,Texas A&M,1031.0,9,64,6,72.75,12,64.5,0,0,0,0,0,0,2,90,17,50,17,50,3,85.0,5,75,0,0,0,0
13,Southern California,1011.25,0,0,1,100,3,85.0,0,0,0,0,0,0,0,0,9,64,5,73,11,66.0,7,72.75,0,0,2,90
14,North Carolina,977.5,3,83,55,x,43,30.0,5,60,9,25,0,0,49,25,17,50,9,64,46,25.0,42,28.5,0,0,0,0
15,Florida State,970.5,5,73,25,48,63,11.0,0,0,0,0,0,0,33,25,17,50,9,64,12,64.5,1,100,0,0,0,0
16,Tennessee,952.75,0,0,46,27,32,41.5,0,0,0,0,11,19,17,50,17,50,9,64,13,62.25,13,62.25,0,0,0,0
17,Virginia,869.0,33,25,12,63,26,48.0,9,25,3,83,5,73,0,0,0,0,3,83,62,11.0,31,42,0,0,0,0
18,Wisconsin,829.5,0,0,0,0,40,33.0,0,0,0,0,10,28,0,0,0,0,17,50,31,37.5,21,52.5,0,0,0,0
19,Duke (N.C.),820.0,0,0,3,85,55,17.0,3,83,3,83,0,0,0,0,9,64,17,50,0,0.0,71,5,0,0,0,0
