,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP
Rank,Conference,Division,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
1,Pacific-10,FBS,Stanford,1550.25,9,64,23,x,31,x,9,x,0,0,2,90,9,64.0,2,90,5,73,8,69.75,6,73.5,0,0,1,100.0
2,Big Ten,FBS,Ohio State,1277.05,0,0,21,53,5,72.75,0,0,0,0,10,34,0,0.0,0,0,3,83,26,48,0,0.0,1,100,0,0.0
3,Pacific-10,FBS,California,1219.5,5,78,12,64.5,19,54.5,0,0,0,0,3,85,5,78.0,9,64,9,64,65,5,25,46.0,0,0,2,90.0
4,SEC,FBS,Florida,1212.25,2,90,10,66.75,23,51,5,60,0,0,0,0,2,90.0,1,100,9,64,34,38.5,3,85.0,0,0,0,0.0
5,ACC,FBS,Duke,1171.5,0,0,25,49,3,82.5,3,83,3,83,0,0,0,0.0,5,73,9,64,16,58.5,34,39.0,0,0,0,0.0
6,ACC,FBS,North Carolina,1160.75,5,78,8,69.75,0,0,3,83,9,25,0,0,0,0.0,5,73,17,50,54,x,40,34.0,0,0,0,0.0
7,ACC,FBS,Virginia,1092.0,3,83,4,80,43,27.5,9,25,1,100,6,63,0,0.0,9,64,2,90,29,44,25,46.0,0,0,0,0.0
8,Big 12,FBS,Texas A&M,1090.5,7,73,7,72,9,69,0,0,0,0,0,0,9,64.0,33,25,9,64,1,100,1,100.0,0,0,0,0.0
9,ACC,FBS,Florida State,1079.0,9,64,25,49,43,27.5,0,0,0,0,0,0,17,50.0,17,50,33,25,20,53,2,90.0,0,0,0,0.0
10,Big 12,FBS,Oklahoma,1064.75,49,25,31,43,28,46,0,0,0,0,0,0,7,73.0,17,50,33,25,4,80,20,52.0,0,0,0,0.0
11,Pacific-10,FBS,UCLA,1020.25,17,50,1,100,5,72.75,0,0,0,0,0,0,17,50.0,3,83,9,64,34,38.5,37,37.0,0,0,3,72.5
12,Big 12,FBS,Texas,996.75,7,73,31,43,12,63.75,0,0,0,0,0,0,33,25.0,17,50,17,50,8,69.75,12,62.25,0,0,0,0.0
13,Big Ten,FBS,Penn State,996.05,0,0,0,0,0,0,0,0,0,0,0,0,17,50.0,0,0,0,0,44,27,20,52.0,3,25,0,0.0
14,Pacific-10,FBS,Southern California,990.25,0,0,5,74.25,12,63.75,0,0,0,0,5,70,0,0.0,17,50,1,100,6,73.5,12,62.25,3,25,4,55.0
15,Big Ten,FBS,Michigan,954.75,0,0,52,x,10,66.75,0,0,0,0,13,22,17,50.0,9,64,33,25,0,0,0,0.0,0,0,0,0.0
16,Pacific-10,FBS,Arizona,906.0,17,50,15,60,29,45,0,0,0,0,0,0,9,64.0,33,25,0,0,5,75,7,72.0,0,0,0,0.0
17,ACC,FBS,Maryland,858.0,0,0,0,0,0,0,2,90,2,90,0,0,33,25.0,33,25,17,50,0,0,46,25.5,0,0,0,0.0
18,Big East,FBS,Notre Dame,833.0,0,0,22,52,51,21,0,0,5,60,0,0,33,25.0,17,50,17,50,0,0,0,0.0,0,0,0,0.0
19,SEC,FBS,Louisiana State U.,831.05,0,0,3,85,21,53,0,0,0,0,0,0,17,50.0,0,0,17,50,3,85,4,80.0,0,0,0,0.0
20,SEC,FBS,Georgia,829.0,17,50,40,34,2,90,0,0,0,0,0,0,9,64.0,5,73,3,83,40,32.5,54,18.5,0,0,0,0.0
21,Pacific-10,FBS,Washington,779.3,0,0,16,58.5,31,40.5,0,0,0,0,8,49,9,64.0,17,50,17,50,54,17.5,20,52.0,0,0,0,0.0
22,SEC,FBS,Tennessee,763.5,0,0,13,63,24,50,0,0,0,0,0,0,17,50.0,17,50,5,73,11,65.25,64,6.0,0,0,0,0.0
23,Big Ten,FBS,Illinois,731.5,17,50,55,19,5,72.75,0,0,0,0,0,0,0,0.0,0,0,9,64,66,5,12,62.25,0,0,0,0.0
24,SEC,FBS,Arkansas,726.75,17,50,5,74.25,15,60,0,0,0,0,0,0,0,0.0,17,50,0,0,14,60.75,10,66.75,0,0,0,0.0
25,SEC,FBS,Alabama,726.25,17,50,8,69.75,14,61.5,0,0,0,0,0,0,3,86.5,17,50,0,0,0,0,25,46.0,0,0,0,0.0
26,Big Ten,FBS,Wisconsin,706.25,0,0,43,31,0,0,0,0,0,0,9,38,0,0.0,0,0,0,0,44,27,0,0.0,0,0,0,0.0
27,Pacific-10,FBS,Arizona State,692.5,9,64,17,57,18,56,0,0,0,0,0,0,1,100.0,17,50,0,0,19,55,25,46.0,0,0,0,0.0
28,Big Ten,FBS,Indiana,687.75,0,0,0,0,43,27.5,0,0,0,0,0,0,49,25.0,0,0,33,25,23,50,20,52.0,0,0,6,37.0
29,Big Ten,FBS,Minnesota,657.25,0,0,19,55,0,0,0,0,0,0,0,0,0,0.0,0,0,33,25,0,0,0,0.0,0,0,0,0.0
30,Pacific-10,FBS,Oregon,640.75,0,0,25,49,56,15,0,0,0,0,0,0,9,64.0,0,0,0,0,2,90,10,66.75,0,0,0,0.0
31,SEC,FBS,Auburn,638.25,0,0,38,36,43,27.5,0,0,0,0,0,0,33,25.0,0,0,17,50,14,60.75,0,0.0,0,0,0,0.0
32,Big 12,FBS,Oklahoma State,635.5,49,25,49,25,3,82.5,0,0,0,0,0,0,7,73.0,0,0,0,0,34,38.5,0,0.0,0,0,0,0.0
33,Big 12,FBS,Nebraska,634.0,0,0,0,0,0,0,0,0,0,0,0,0,17,50.0,33,25,33,25,32,41.5,38,35.5,0,0,0,0.0
34,Big East,FBS,Louisville,629.5,0,0,34,40,0,0,0,0,0,0,0,0,17,50.0,0,0,17,50,44,27,25,46.0,0,0,0,0.0
35,Big 12,FBS,Baylor (Tex.),623.75,17,50,0,0,37,34.5,0,0,0,0,0,0,4,83.0,3,83,5,73,38,35.5,32,41.5,0,0,0,0.0
36,SEC,FBS,Kentucky,585.5,0,0,58,16,0,0,0,0,0,0,0,0,9,64.0,0,0,5,73,60,12,41,31.0,0,0,0,0.0
37,Mountain West,FBS,Brigham Young (Utah),579.55,0,0,34,40,0,0,0,0,0,0,0,0,17,50.0,0,0,33,25,0,0,8,70.5,0,0,0,0.0
