,,,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten.,,W. T&F,,M. T&F,,M. VB,,W. WP,,,,
,,,,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total,Total
1,Stanford,Pac-12,FBS,1261.25,0,0,13,62.25,38,33.5,9,x,0,0,9,x,17,x,1,100,33,25,6,72.75,0,0,0,0,2,90,373,504.75,383.5
2,Florida,SEC,FBS,1244.75,49,25,17,57,25,49,5,70,0,0,0,0,5,78,3,83,33,25,11,65.25,1,95,0,0,0,0,224.5,473,547.25
3,UCLA,Pac-12,FBS,1227.25,1,100,4,80,26,48,0,0,0,0,9,61.5,17,x,3,83,2,90,20,54,12,63.75,0,0,3,72.5,331,243.5,652.75
4,Michigan,Big Ten,FBS,1138.25,0,0,0,0,0,0,0,0,0,0,12,54,5,78,9,64,33,25,47,x,44,28,0,0,0,0,348,541.25,249
5,Texas A&M,SEC,FBS,1131.5,17,50,34,38,9,69,0,0,0,0,0,0,9,64,2,90,9,64,2,90,1,95,0,0,0,0,247,324.5,560
6,Penn State,Big Ten,FBS,1100,0,0,55,17.5,0,0,5,70,9,25,0,0,0,0,0,0,0,0,29,44,14,61.5,3,25,0,0,323.5,533.5,243
7,Oklahoma,Big 12,FBS,1078.25,9,64,9,67.5,11,65.25,0,0,0,0,17,40,1,100,33,25,9,64,21,52.5,38,33.5,0,0,0,0,180.5,386,511.75
8,North Carolina,ACC,FBS,1075.33,3,83,28,45,49,22,1,100,5,60,0,0,33,x,5,73,0,0,0,0,0,0,0,0,0,0,342,350.33,383
9,Notre Dame,Big East,FBS,1015.5,0,0,43,29,0,0,17,25,5,60,13,51,33,x,17,50,33,25,39,32.5,49,x,0,0,0,0,353,390,272.5
10,Georgia,SEC,FBS,1006.75,0,0,28,45,19,54,0,0,0,0,0,0,17,50,5,73,3,83,11,65.25,49,21,0,0,0,0,179,436.5,391.25
11,Florida State,ACC,FBS,987.75,9,64,55,17.5,11,65.25,0,0,0,0,0,0,9,64,33,25,33,25,29,44,9,69,0,0,0,0,358.5,255.5,373.75
12,Duke,ACC,FBS,969.6,0,0,2,90,38,33.5,5,70,1,100,0,0,0,0,9,64,5,73,53,17.5,65,5,0,0,0,0,214,302.6,453
13,Texas,Big 12,FBS,966.75,0,0,21,53,5,72.75,0,0,0,0,0,0,3,83,17,50,17,50,15,60,6,73.5,0,0,0,0,274,250.5,442.25
14,USC,Pac-12,FBS,945,0,0,1,100,23,50.5,0,0,0,0,4,80,0,0,9,64,5,73,21,52.5,5,75,0,0,1,100,198,152,595
15,Oregon,Pac-12,FBS,929.75,17,50,22,52,44,28,0,0,0,0,0,0,9,64,0,0,0,0,3,85,4,80,0,0,0,0,334,236.75,359
16,Ohio State,Big Ten,FBS,868.5,0,0,43,29,0,0,0,0,5,60,1,100,0,0,0,0,3,83,0,0,21,52.5,0,0,0,0,75,469,324.5
17,California,Pac-12,FBS,858.83,0,0,52,21,3,82.5,0,0,0,0,2,90,17,50,5,73,9,64,0,0,0,0,0,0,0,0,75,403.33,380.5
18,Arizona State,Pac-12,FBS,852.08,17,50,5,75,5,72.75,0,0,0,0,0,0,7,73,17,50,0,0,10,67.5,28,43,0,0,0,0,95,325.83,431.25
19,LSU,SEC,FBS,847,7,73,34,38,23,50.5,0,0,0,0,0,0,17,50,0,0,17,50,4,80,7,72,0,0,0,0,64.5,369,413.5
20,Virginia,ACC,FBS,845.5,9,64,31,42,33,39,5,70,0,0,5,75,0,0,9,64,1,100,0,0,0,0,0,0,0,0,235.5,156,454
