,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP,W. WP,W. WP,W. WP
Rank,School,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total.1,Total.2
1,Stanford,Pac 12,FBS,1448.0,0,0,1,100,21,53.0,17,x,0,0,6,72,0,0,5,73,17,50,13,x,16,58.5,0,0,1,100.0,423.5,518.0,506.5
2,UCLA,Pac 12,FBS,1236.0,17,50,15,60,5,72.75,0,0,0,0,0,0,5,78,2,90,9,64,0,0,0,0,0,0,2,90.0,497.5,233.75,504.75
3,USC,Pac 12,FBS,1209.0,17,50,3,82.5,2,90.0,9,53,0,0,15,45,0,0,3,83,5,73,7,72,5,75,0,0,3,86.5,218.0,281.0,710.0
4,Florida,SEC,FBS,1188.5,3,83,29,43.5,28,45.5,9,53,0,0,0,0,1,100,5,73,33,25,8,70.5,2,90,0,0,0,0.0,191.0,414.0,583.5
5,North Carolina,ACC,FBS,1152.0,0,0,54,x,43,28.5,2,90,5,60,0,0,33,25,5,73,5,73,59,x,68,x,0,0,0,0.0,434.5,368.0,349.5
6,Virginia,ACC,FBS,1129.5,1,100,20,53.5,18,56.0,9,53,9,x,5,75,0,0,9,64,1,100,0,0,17,57,0,0,0,0.0,303.0,268.0,558.5
7,Ohio State,Big Ten,FBS,1087.0,0,0,25,47.5,43,28.5,17,25,5,60,1,100,0,0,33,25,9,64,0,0,37,36.5,0,0,0,0.0,262.0,438.5,386.5
8,Penn State,Big Ten,FBS,1060.75,0,0,0,0,62,10.0,5,70,0,0,0,0,0,0,0,0,0,0,0,0,10,66.75,3,55,0,0.0,383.0,476.0,201.75
9,Texas,Big 12,FBS,1057.5,49,25,25,47.5,5,72.75,0,0,0,0,7,69,33,25,0,0,9,64,9,68.25,7,72,0,0,0,0.0,206.0,408.0,443.5
10,Notre Dame,ACC,FBS,1010.25,33,25,29,43.5,0,0.0,9,53,3,83,16,42,17,50,33,25,33,25,13,62.25,0,0,0,0,0,0.0,218.0,383.5,408.75
11,Florida State,ACC,FBS,1000.5,9,64,37,34.5,11,66.0,0,0,0,0,0,0,9,64,0,0,17,50,6,73.5,19,51,0,0,0,0.0,345.0,252.5,403.0
12,California,Pac 12,FBS,937.25,17,50,24,50,38,34.0,0,0,0,0,2,90,33,25,9,64,17,50,0,0,68,5,0,0,4,83.0,114.0,372.25,451.0
13,Oregon,Pac 12,FBS,933.5,33,25,29,43.5,23,51.0,0,0,0,0,0,0,7,73,0,0,0,0,1,100,1,100,0,0,0,0.0,301.0,240.0,392.5
14,Georgia,SEC,FBS,931.0,0,0,0,0,3,82.5,0,0,0,0,0,0,9,64,3,83,5,73,5,75,15,60,0,0,0,0.0,94.0,399.5,437.5
