,,,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP,Beach VB,Beach VB,Beach VB,Beach VB,Beach VB
Rank,School,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total.1,Total.2
1,Stanford,Pac 12,FBS,1442.0,17,50.0,3,82.5,16,57.75,17,x,0,0,4,77.5,0,0.0,1,100,17,x,3,85,8,69.75,0,0,2,90,0,0,443.0,386.5,612.5
2,UCLA,Pac 12,FBS,1326.0,17,50.0,5,72.75,21,52.5,0,0,0,0,0,0.0,3,83.0,5,73,3,83,14,60.75,66,x,2,90,3,83,1,100,307.0,271.0,748.0
3,Florida,SEC,FBS,1216.0,3,83.0,21,53.0,18,56.0,5,70,0,0,0,0.0,5,78.0,17,50,5,73,5,75,2,90,0,0,0,0,0,0,163.0,425.0,628.0
4,USC,Pac 12,FBS,1147.0,0,0.0,3,82.5,50,22.0,0,0,0,0,12,54.0,0,0.0,0,0,5,73,1,100,4,80,0,0,1,100,3,55,280.5,300.0,566.5
5,Texas,Big 12,FBS,1143.25,7,73.0,12,63.0,5,72.75,0,0,0,0,3,85.0,33,37.5,9,64,9,64,34,39,25,49,0,0,0,0,0,0,269.0,327.0,547.25
6,Michigan,Big Ten,FBS,1131.0,0,0.0,0,0.0,0,0.0,0,0,0,0,7,69.0,33,37.5,17,50,9,64,40,x,20,52.5,0,0,5,60,0,0,294.5,503.5,333.0
7,Ohio State,Big Ten,FBS,1118.0,49,25.0,23,51.0,0,0.0,0,0,0,0,6,72.0,17,50.0,33,x,2,90,56,x,12,63.75,3,55,0,0,0,0,75.0,636.25,406.75
8,Georgia,SEC,FBS,1046.35,17,50.0,30,43.0,62,8.6,0,0,0,0,0,0.0,7,73.0,5,73,33,25,2,90,1,100,0,0,0,0,0,0,147.0,436.75,462.6
9,Florida State,ACC,FBS,1038.75,49,25.0,12,63.0,31,40.5,0,0,0,0,0,0.0,1,100.0,5,73,17,50,14,60.75,11,66,0,0,0,0,2,90,195.5,275.0,568.25
