,,,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten,,W. T&F,,M. T&F,,M. VB,,W. WP,,Beach VB,
Rank,Institution,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
1,Texas,Big 12,FBS,1449.5,7,73,13,63,1,100,0,0,0,0,1,100,2,90,1,100,9,64,2,90,2,90,0,0,0,0,0,0
2,Stanford,Pac-12,FBS,1352.25,7,73,1,100,18,x,17,x,0,0,2,90,9,64,9,64,9,64,13,63,8,70.5,0,0,1,100,9,x
3,Michigan,Big Ten,FBS,1245.25,17,50,20,54,0,0,9,53,0,0,10,60,17,x,17,x,5,73,0,0,46,x,0,0,5,60,0,0
4,Ohio State,Big Ten,FBS,1184.5,0,0,45,x,23,51,0,0,9,53,8,66,33,x,17,50,3,83,12,64.5,46,x,0,0,0,0,0,0
5,Florida,SEC,FBS,1180.75,17,50,26,46,10,66.75,5,70,0,0,0,0,5,78,9,64,5,73,1,100,1,100,0,0,0,0,0,0
6,North Carolina,ACC,FBS,1087.25,9,64,37,33.5,5,72.75,1,100,0,0,0,0,0,0,3,83,9,64,37,35.5,68,x,0,0,0,0,0,0
7,Arkansas,SEC,FBS,1050.75,3,83,22,51.5,9,69,0,0,0,0,0,0,9,64,33,25,0,0,6,73.5,23,50.5,0,0,0,0,0,0
8,Notre Dame,ACC,FBS,1021,5,78,0,0,49,x,17,25,0,0,0,0,33,37.5,0,0,33,25,0,0,30,41.5,0,0,0,0,0,0
9,Kentucky,SEC,FBS,979.75,0,0,37,33.5,49,22,0,0,0,0,0,0,17,50,0,0,2,90,3,85,36,37,0,0,0,0,0,0
