,,,,Final,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten,,W. T&F,,M. T&F,,M. VB,,W. WP,,Beach VB,
Rank,Institution,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
1,Stanford,Pac-12,FBS,1412,7,73,3,82.5,9,69,0,0,0,0,1,100,3,83,3,83,9,64,20,x,3,85,0,0,1,100,5,70
2,Texas,Big 12,FBS,1370.5,9,64,5,72.75,19,55,0,0,0,0,4,80,9,64,5,73,3,83,1,100,13,63,0,0,0,0,0,0
3,Ohio State,Big Ten,FBS,1170.75,0,0,31,x,15,60,0,0,0,0,12,54,0,0,9,64,2,90,31,x,37,x,5,x,0,0,0,0
4,Virginia,ACC,FBS,1105.5,7,73,24,49.5,5,72.75,17,x,3,83,10,60,0,0,9,64,1,100,17,56,11,65.25,0,0,0,0,0,0
5,Florida,SEC,FBS,1091.5,2,90,44,28,1,100,9,53,0,0,0,0,17,50,9,64,33,25,2,90,1,100,0,0,0,0,0,0
6,Tennessee,SEC,FBS,1078.75,5,78,37,34,44,27.5,0,0,0,0,0,0,3,83,9,64,9,64,10,66.75,22,51,0,0,0,0,0,0
7,Georgia,SEC,FBS,1072.5,0,0,14,60.75,14,61.5,0,0,0,0,0,0,9,64,3,83,5,73,10,66.75,7,72,0,0,0,0,0,0
8,North Carolina,ACC,FBS,1068,33,37.5,49,x,3,82.5,5,70,0,0,0,0,0,0,1,100,9,64,63,x,32,40.5,0,0,0,0,0,0
9,LSU,SEC,FBS,1062.25,1,100,14,60.75,44,27.5,0,0,0,0,0,0,17,50,33,25,33,25,7,72,4,80,0,0,0,0,5,70
10,USC,Pac-12,FBS,1048,0,0,2,90,0,0,17,x,0,0,16,42,0,0,17,50,9,64,15,59.5,27,46,0,0,2,90,1,100
11,Michigan,Big Ten,FBS,1045.75,0,0,49,x,0,0,9,53,5,70,11,57,0,0,5,73,5,73,14,61.5,0,0,0,0,0,0,0,0
12,Alabama,SEC,FBS,1037.75,9,64,49,22.5,11,65.25,0,0,0,0,0,0,7,73,0,0,0,0,25,47.5,8,70.5,0,0,0,0,0,0
13,Arkansas,SEC,FBS,1031.5,17,50,31,40.5,18,56,0,0,0,0,0,0,17,50,33,25,0,0,3,85,2,90,0,0,0,0,0,0
14,UCLA,Pac-12,FBS,1000.25,0,0,44,28,0,0,0,0,0,0,0,0,49,25,9,64,33,25,56,x,37,34,1,100,3,83,2,90
15,Penn State,Big Ten,FBS,986,0,0,0,0,0,0,17,25,3,83,0,0,0,0,0,0,0,0,52,x,27,46,3,55,0,0,0,0
16,Duke,ACC,FBS,977.8,9,64,18,55.5,22,52,0,0,2,90,14,48,9,64,17,50,9,64,43,28.5,0,0,0,0,0,0,0,0
17,Florida State,ACC,FBS,909.25,0,0,5,72.75,3,82.5,0,0,0,0,0,0,2,90,17,50,17,50,37,34.5,15,59.5,0,0,0,0,3,83
18,Kentucky,SEC,FBS,899.75,9,64,31,40.5,0,0,0,0,0,0,0,0,33,37.5,0,0,5,73,6,73.5,36,38,0,0,0,0,0,0
19,North Carolina State,ACC,FBS,893,33,37.5,30,44,55,15.5,0,0,0,0,0,0,0,0,2,90,33,25,35,38.5,0,0,0,0,0,0,0,0
20,Notre Dame,ACC,FBS,884,0,0,0,0,0,0,5,70,1,100,0,0,33,37.5,17,50,0,0,22,51.5,47,23.5,0,0,0,0,0,0
21,Washington,Pac-12,FBS,861.75,33,37.5,0,0,33,39.5,0,0,0,0,2,90,5,78,17,50,0,0,29,44.5,9,69,0,0,0,0,0,0
22,California,Pac-12,FBS,833.25,0,0,55,x,33,39.5,0,0,0,0,8,66,17,50,33,25,17,50,37,34.5,32,40.5,0,0,5,60,5,70
23,Oklahoma,Big 12,FBS,813.75,33,37.5,0,0,17,57,0,0,0,0,0,0,1,100,9,64,17,50,12,63.75,22,51,0,0,0,0,0,0
24,Texas A&M,SEC,FBS,808.75,17,50,3,82.5,13,63,0,0,0,0,0,0,17,50,5,73,17,50,5,75,22,51,0,0,0,0,0,0
25,Oklahoma State,Big 12,FBS,800,49,25,11,65.25,37,34,0,0,0,0,0,0,5,78,17,50,17,50,22,51.5,27,46,0,0,0,0,0,0
26,Princeton,Ivy League,FCS,799,0,0,0,0,67,5,0,0,9,53,3,85,0,0,17,50,0,0,0,0,60,14,0,0,3,83,0,0
27,Wisconsin,Big Ten,FBS,754.25,0,0,0,0,67,5,0,0,0,0,0,0,0,0,17,50,0,0,56,15,15,59.5,0,0,0,0,0,0
28,Utah,Pac-12,FBS,741,0,0,0,0,0,0,0,0,9,53,0,0,7,73,0,0,17,50,15,59.5,0,0,0,0,0,0,0,0
29,Nebraska,Big Ten,FBS,734.25,0,0,49,22.5,0,0,0,0,0,0,0,0,17,50,0,0,0,0,8,70.5,17,56.5,0,0,0,0,0,0
30,Northwestern,Big Ten,FBS,704.5,0,0,22,51.5,31,42.5,1,100,0,0,0,0,9,64,0,0,17,50,0,0,0,0,0,0,0,0,0,0
31,Minnesota,Big Ten,FBS,678.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,20,54,0,0,0,0,0,0
32,Louisville,ACC,FBS,672.8,0,0,0,0,44,27.5,0,0,0,0,0,0,33,37.5,0,0,17,50,63,8.5,32,40.5,0,0,0,0,0,0
33,South Carolina,SEC,FBS,671.05,9,64,5,72.75,0,0,0,0,0,0,0,0,17,50,33,25,5,73,0,0,44,29,0,0,0,0,0,0
