Rank,Institution,Conference,Division,Final,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten,,W. T&F,,M. T&F,,M. VB,,W. WP,,Beach VB,
,,,,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
1,Texas,Big 12,FBS,1377,33,37.5,11,64.5,13,63,0,0,0,0,1,100,2,90,9,64,2,90,3,85,12,64.5,0,0,0,0,0,0
2,Stanford,Pac-12,FBS,1312.75,0,0,1,100,20,x,17,x,0,0,2,90,3,83,5,73,9,64,13,x,42,x,0,0,3,83,5,65
3,Tennessee,SEC,FBS,1217,1,100,31,40,10,67.5,0,0,0,0,3,85,9,64,3,83,5,73,30,43,37,36,0,0,0,0,0,0
4,Florida,SEC,FBS,1189,3,83,38,34,11,66,3,83,0,0,0,0,3,83,17,50,33,25,2,90,1,100,0,0,0,0,0,0
5,Virginia,ACC,FBS,1066.25,7,73,28,46,5,72.75,9,53,3,83,13,51,17,50,5,73,5,73,40,x,8,70.5,0,0,0,0,0,0
6,Texas A&M,SEC,FBS,1059.25,2,90,5,72.75,20,53.5,0,0,0,0,0,0,9,64,1,100,9,64,10,66,5,75,0,0,0,0,0,0
7,North Carolina,ACC,FBS,1035.75,5,78,26,47.5,5,72.75,17,25,0,0,0,0,0,0,9,64,33,x,0,0,32,40,0,0,0,0,0,0
8,Michigan,Big Ten,FBS,1030,0,0,50,x,0,0,5,70,9,45,7,69,17,50,5,73,17,50,18,55.5,0,0,0,0,0,0,0,0
9,Alabama,SEC,FBS,1028.88,49,25,55,x,31,40.5,0,0,0,0,0,0,5,78,33,25,17,50,7,71.25,4,80,0,0,0,0,0,0
10,UCLA,Pac-12,FBS,1017.5,0,0,2,90,37,34,0,0,0,0,0,0,5,78,5,73,17,50,50,23,0,0,1,100,1,100,2,90
11,Notre Dame,ACC,FBS,1008.5,0,0,0,0,23,50.5,9,53,1,100,0,0,0,0,17,50,0,0,17,57,52,x,0,0,0,0,0,0
12,Florida State,ACC,FBS,998.88,3,83,11,64.5,2,90,0,0,0,0,0,0,9,64,17,50,9,64,54,19,19,55,0,0,0,0,5,65
13,LSU,SEC,FBS,998.5,17,50,5,72.75,18,56,0,0,0,0,0,0,9,64,17,50,33,25,6,73.5,16,57.75,0,0,0,0,3,83
14,USC,Pac-12,FBS,994,0,0,3,82.5,0,0,0,0,0,0,0,0,0,0,9,64,0,0,10,66,3,85,0,0,5,60,1,100
15,Ohio State,Big Ten,FBS,981,0,0,31,40,3,82.5,0,0,0,0,12,54,0,0,17,50,3,83,45,27.5,0,0,5,x,0,0,0,0
16,Georgia,SEC,FBS,951.38,9,64,31,40,37,34,0,0,0,0,0,0,9,64,2,90,33,25,10,66,9,69,0,0,0,0,0,0
17,Duke,ACC,FBS,928.5,33,37.5,14,61.5,37,34,17,25,5,65,16,42,7,73,17,50,9,64,57,15,46,28,0,0,0,0,0,0
18,Arkansas,SEC,FBS,921.75,33,37.5,10,67.5,55,16,0,0,0,0,0,0,33,37.5,0,0,33,25,1,100,7,72,0,0,0,0,0,0
19,Oklahoma State,Big 12,FBS,896,17,50,24,49.5,23,50.5,0,0,0,0,0,0,7,73,9,64,17,50,14,61.5,27,45.5,0,0,0,0,0,0
20,California,Pac-12,FBS,886,0,0,38,34,19,55,0,0,0,0,9,63,33,37.5,9,64,0,0,0,0,25,49,0,0,2,90,5,65
21,North Carolina State,ACC,FBS,853.5,7,73,0,0,0,0,0,0,0,0,0,0,0,0,9,64,17,50,57,15,0,0,0,0,0,0,0,0
22,Nebraska,Big Ten,FBS,841,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,69,13,62.25,0,0,0,0,0,0
23,Penn State,Big Ten,FBS,827.75,0,0,0,0,0,0,17,x,9,45,0,0,33,37.5,0,0,0,0,45,27.5,32,40,5,x,0,0,0,0
